 <2023-11-24 14:49:48> Line: 368, ErrNum: 0, 新系统数据:......................................
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=16,,m_para[0~5]=852.590000,773.030000,3781.000000,261.970000,0.000000,260.340000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=17,,m_para[0~5]=854.030000,771.510000,3781.000000,270.880000,0.000000,269.270000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=18,,m_para[0~5]=859.070000,771.840000,3781.000000,279.760000,0.000000,278.170000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=19,,m_para[0~5]=860.600000,771.630000,3781.000000,287.080000,0.000000,285.510000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=20,,m_para[0~5]=858.660000,764.620000,3781.000000,295.560000,0.000000,294.010000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=21,,m_para[0~5]=855.050000,762.960000,3781.000000,302.450000,0.000000,300.910000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=22,,m_para[0~5]=855.950000,763.670000,3781.000000,310.650000,0.000000,309.120000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=23,,m_para[0~5]=853.460000,762.200000,3781.000000,317.310000,0.000000,315.790000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=24,,m_para[0~5]=873.310000,784.090000,4382.000000,325.710000,0.000000,324.210000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=25,,m_para[0~5]=892.450000,804.720000,4984.000000,333.280000,0.000000,331.780000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=26,,m_para[0~5]=898.880000,807.060000,4984.000000,342.580000,0.000000,341.090000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=27,,m_para[0~5]=902.240000,808.770000,4984.000000,350.250000,0.000000,348.770000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=28,,m_para[0~5]=907.780000,811.030000,4984.000000,359.440000,0.000000,357.970000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=29,,m_para[0~5]=909.710000,813.370000,4984.000000,368.520000,0.000000,367.050000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=30,,m_para[0~5]=914.490000,816.310000,4984.000000,377.570000,0.000000,376.110000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=31,,m_para[0~5]=914.750000,817.270000,4984.000000,384.970000,0.000000,383.520000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=32,,m_para[0~5]=934.470000,839.470000,5585.000000,394.240000,0.000000,392.790000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=33,,m_para[0~5]=947.140000,855.770000,6186.000000,403.840000,0.000000,402.400000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=34,,m_para[0~5]=944.010000,854.170000,6186.000000,411.800000,0.000000,410.370000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=35,,m_para[0~5]=942.100000,854.360000,6186.000000,421.100000,0.000000,419.680000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=36,,m_para[0~5]=943.740000,856.360000,6186.000000,428.750000,0.000000,427.330000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=37,,m_para[0~5]=958.800000,877.080000,6788.000000,438.170000,0.000000,436.760000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=38,,m_para[0~5]=957.770000,876.150000,6788.000000,446.030000,0.000000,444.630000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=39,,m_para[0~5]=1099.840000,1093.500000,7389.000000,455.730000,0.000000,454.630000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=40,,m_para[0~5]=1099.840000,1093.500000,7389.000000,464.810000,0.000000,464.990000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=41,,m_para[0~5]=1099.840000,1093.500000,7389.000000,475.110000,0.000000,476.500000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=42,,m_para[0~5]=1099.840000,1093.500000,7389.000000,485.120000,0.000000,487.630000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=43,,m_para[0~5]=1099.840000,1093.500000,7991.000000,493.620000,0.000000,496.850000.
 <2023-11-24 14:49:48> Line: 474, ErrNum: 0, slab_nums=44,,m_para[0~5]=1099.840000,1093.500000,7991.000000,503.790000,0.000000,507.910000.
